plazo meses \ monto hasta,2,5,6,8,10,12,15,20,30,40,50,60,70,80,100,198,300
3,"41,53","40,81","40,81","40,81","29,77","29,77","29,77","29,77","29,77","29,77","29,17","28,93","28,93","28,93","28,93","20,05","4,57"
6,"32,68","25,48","24,88","24,52","20,20","19,96","19,84","19,84","19,72","19,36","19,36","19,00","19,00","19,00","19,00","15,52","4,96"
12,"32,46","25,26","24,66","24,30","19,98","19,74","19,74","19,50","19,50","19,02","19,02","18,66","18,66","18,66","18,66","15,18","4,86"
24,"32,06","24,74","24,14","23,66","19,34","18,98","18,86","18,74","18,74","18,02","18,02","18,02","18,02","18,02","18,02","14,54","4,46"
36,"31,98","24,66","23,94","23,58","18,90","18,54","18,54","18,30","18,30","17,58","17,58","17,58","17,58","17,58","17,58","14,22","4,38"
48,"31,81","24,49","23,77","23,29","18,37","18,25","18,25","17,89","17,53","17,17","17,17","17,17","17,17","17,05","17,05","13,69","4,21"
60,"31,55","24,23","23,51","23,03","18,23","17,99","17,99","17,51","16,43","16,43","16,43","16,55","16,55","16,55","16,55","13,07","4,07"
72,"31,43","23,99","23,39","22,79","17,99","17,75","17,75","16,91","16,31","16,19","16,19","15,35","15,35","15,35","15,35","12,59","3,95"
84,"31,32","23,88","23,16","22,68","17,76","17,64","17,64","16,80","16,20","16,08","16,08","15,12","15,12","15,12","15,12","12,36","3,84"
