"0,48",2,5,6,8,10,12,15,20,30,40,50,60,70,80,100,198,300
3,"42,01","41,29","41,29","41,29","30,25","30,25","30,25","30,25","30,25","30,25","29,65","29,41","29,41","29,41","29,41","20,53","4,57"
6,"33,16","25,96","25,36","25,00","20,68","20,44","20,32","20,32","20,20","19,84","19,84","19,48","19,48","19,48","19,48","16,00","4,96"
12,"32,94","25,74","25,14","24,78","20,46","20,22","20,22","19,98","19,98","19,50","19,50","19,14","19,14","19,14","19,14","15,66","4,86"
24,"32,54","25,22","24,62","24,14","19,82","19,46","19,34","19,22","19,22","18,50","18,50","18,50","18,50","18,50","18,50","15,02","4,46"
36,"32,46","25,14","24,42","24,06","19,38","19,02","19,02","18,78","18,78","18,06","18,06","18,06","18,06","18,06","18,06","14,70","4,38"
48,"32,29","24,97","24,25","23,77","18,85","18,73","18,73","18,37","18,01","17,65","17,65","17,65","17,65","17,53","17,53","14,17","4,21"
60,"32,03","24,71","23,99","23,51","18,71","18,47","18,47","17,99","16,91","16,91","16,91","17,03","17,03","17,03","17,03","13,55","4,07"
72,"31,91","24,47","23,87","23,27","18,47","18,23","18,23","17,39","16,79","16,67","16,67","15,83","15,83","15,83","15,83","13,07","3,95"
84,"31,80","24,36","23,64","23,16","18,24","18,12","18,12","17,28","16,68","16,56","16,56","15,60","15,60","15,60","15,60","12,84","3,84"
