"-1,68",2,5,6,8,10,12,15,20,30,40,50,60,70,80,100,198,300
3,"39,85","39,13","39,13","39,13","28,09","28,09","28,09","28,09","28,09","28,09","27,49","27,25","27,25","27,25","27,25","18,37","4,57"
6,"31,00","23,80","23,20","22,84","18,52","18,28","18,16","18,16","18,04","17,68","17,68","17,32","17,32","17,32","17,32","13,84","4,96"
12,"30,78","23,58","22,98","22,62","18,30","18,06","18,06","17,82","17,82","17,34","17,34","16,98","16,98","16,98","16,98","13,50","4,86"
24,"30,38","23,06","22,46","21,98","17,66","17,30","17,18","17,06","17,06","16,34","16,34","16,34","16,34","16,34","16,34","12,86","4,46"
36,"30,30","22,98","22,26","21,90","17,22","16,86","16,86","16,62","16,62","15,90","15,90","15,90","15,90","15,90","15,90","12,54","4,38"
48,"30,13","22,81","22,09","21,61","16,69","16,57","16,57","16,21","15,85","15,49","15,49","15,49","15,49","15,37","15,37","12,01","4,21"
60,"29,87","22,55","21,83","21,35","16,55","16,31","16,31","15,83","14,75","14,75","14,75","14,87","14,87","14,87","14,87","11,39","4,07"
72,"29,75","22,31","21,71","21,11","16,31","16,07","16,07","15,23","14,63","14,51","14,51","13,67","13,67","13,67","13,67","10,91","3,95"
84,"29,64","22,20","21,48","21,00","16,08","15,96","15,96","15,12","14,52","14,40","14,40","13,44","13,44","13,44","13,44","10,68","3,84"
