desc. puntos anuales,2,5,6,8,10,12,15,20,30,40,50,60,70,80,100,198,300
3,"-3,36","-3,36","-3,36","-3,36","-3,36","-3,36","-3,36","-3,36","-3,36","-3,36","-3,36","-3,36","-3,36","-3,36","0,00","0,00","0,00"
6,"-1,92","-1,92","-1,92","-1,92","-1,92","-1,92","-1,92","-1,92","-1,92","-1,92","-1,92","-1,92","-1,92","-1,92","0,00","0,00","0,00"
12,"-1,08","-1,08","-1,08","-1,08","-1,08","-1,08","-1,08","-1,08","-1,08","-1,08","-1,08","-1,08","-1,08","-1,08","0,00","0,00","0,00"
24,"-1,32","-1,32","-1,32","-1,32","-1,32","-1,32","-1,32","-1,32","-1,32","-1,32","-1,32","-1,32","-1,32","-1,32","0,00","0,00","0,00"
36,"-1,44","-1,44","-1,44","-1,44","-1,44","-1,44","-1,44","-1,44","-1,44","-1,44","-1,44","-1,44","-1,44","-1,44","0,00","0,00","0,00"
48,"-1,56","-1,56","-1,56","-1,56","-1,56","-1,56","-1,56","-1,56","-1,56","-1,56","-1,44","-1,44","-1,44","-1,44","0,00","0,00","0,00"
60,"-1,68","-1,68","-1,68","-1,68","-1,56","-1,56","-1,56","-1,56","-1,56","-1,56","-1,56","-1,56","-1,56","-1,56","0,00","0,00","0,00"
72,"-1,80","-1,80","-1,80","-1,80","-1,56","-1,68","-1,68","-1,68","-1,68","-1,68","-1,68","-1,68","-1,68","-1,68","0,00","0,00","0,00"
84,"-2,04","-1,80","-1,80","-1,80","-1,68","-1,68","-1,68","-1,80","-1,80","-1,80","-1,68","-1,68","-1,68","-1,68","0,00","0,00","0,00"
